model,shot_config,k_shot,tweet_length_threshold,num_test_samples,accuracy,balanced_accuracy,f1_macro,f1_weighted,mcc,cohen_kappa,f1_sadness,f1_joy,f1_love,f1_anger,f1_fear,f1_surprise
google/flan-t5-small,zero-shot,0,100,500,0.41,0.4683931843602009,0.3697702146411406,0.41908964917777053,0.3271779616554355,0.28898187024280675,0.6208955223880597,0.28708133971291866,0.21428571428571427,0.484375,0.4444444444444444,0.16753926701570682
google/flan-t5-small,zero-shot,0,200,500,0.41,0.4683931843602009,0.3697702146411406,0.41908964917777053,0.3271779616554355,0.28898187024280675,0.6208955223880597,0.28708133971291866,0.21428571428571427,0.484375,0.4444444444444444,0.16753926701570682
google/flan-t5-small,zero-shot,0,500,500,0.41,0.4683931843602009,0.3697702146411406,0.41908964917777053,0.3271779616554355,0.28898187024280675,0.6208955223880597,0.28708133971291866,0.21428571428571427,0.484375,0.4444444444444444,0.16753926701570682
google/flan-t5-base,zero-shot,0,100,500,0.68,0.6466760667285405,0.6406523856460192,0.6741096076435815,0.5790024633086629,0.5750015937440234,0.6792452830188679,0.7762803234501348,0.5714285714285714,0.6134969325153374,0.47619047619047616,0.7272727272727273
google/flan-t5-base,zero-shot,0,200,500,0.68,0.6466760667285405,0.6406523856460192,0.6741096076435815,0.5790024633086629,0.5750015937440234,0.6792452830188679,0.7762803234501348,0.5714285714285714,0.6134969325153374,0.47619047619047616,0.7272727272727273
google/flan-t5-base,zero-shot,0,500,500,0.68,0.6466760667285405,0.6406523856460192,0.6741096076435815,0.5790024633086629,0.5750015937440234,0.6792452830188679,0.7762803234501348,0.5714285714285714,0.6134969325153374,0.47619047619047616,0.7272727272727273
google/flan-t5-small,3-shot,3,100,500,0.324,0.3672232336212846,0.25643835647683283,0.3262653098974761,0.23874220220418896,0.19435956352403327,0.5781710914454278,0.23809523809523808,0.0,0.19047619047619047,0.40540540540540543,0.12648221343873517
google/flan-t5-small,5-shot,5,100,500,0.34,0.3704246091240095,0.24999468522983845,0.3265366142970004,0.2560207387522684,0.2072643413087345,0.6201117318435754,0.23076923076923078,0.0,0.15789473684210525,0.3611111111111111,0.13008130081300814
google/flan-t5-base,3-shot,3,100,500,0.706,0.6468981283167939,0.5499929391439042,0.6970824532657249,0.6097501507833607,0.6056316868232694,0.7436823104693141,0.7819148936170213,0.38461538461538464,0.6163522012578616,0.6391752577319587,0.6842105263157895
google/flan-t5-base,5-shot,5,100,500,0.7,0.6477755170034031,0.5347697323294679,0.6904421125266509,0.6019842796461188,0.5989219020727716,0.7402135231316725,0.7870619946091644,0.3673469387755102,0.5850340136054422,0.6415094339622641,0.6222222222222222
google/flan-t5-small,3-shot,3,200,500,0.376,0.392407962685324,0.2836916995384153,0.3774541649660321,0.28448703181607643,0.23953260503955898,0.6145251396648045,0.35398230088495575,0.0,0.20253164556962025,0.3888888888888889,0.14222222222222222
google/flan-t5-small,5-shot,5,200,500,0.354,0.3793534780228933,0.2587211657236154,0.33588369183310507,0.26173886724698775,0.21561580230604105,0.6216216216216216,0.24528301886792453,0.0,0.1794871794871795,0.36619718309859156,0.13973799126637554
google/flan-t5-base,3-shot,3,200,500,0.702,0.64378078817734,0.5423826022436619,0.6903730069858245,0.6024264964438721,0.5992167242288284,0.7422680412371134,0.7816711590296496,0.35294117647058826,0.609271523178808,0.6105263157894737,0.7
google/flan-t5-base,5-shot,5,200,500,0.704,0.649336046262583,0.5425899705947601,0.6935168641182765,0.6058508137555246,0.603044754021854,0.7448275862068966,0.782608695652174,0.36,0.6040268456375839,0.64,0.6666666666666666
google/flan-t5-small,3-shot,3,500,500,0.374,0.3952952095380881,0.2863054361752178,0.3747687905066351,0.2812407030050476,0.23780116594505352,0.6123595505617978,0.3377777777777778,0.0,0.19753086419753085,0.4266666666666667,0.14349775784753363
google/flan-t5-small,5-shot,5,500,500,0.352,0.379647676161919,0.2626984662533231,0.3398023823467817,0.2582689000927751,0.21368765926465239,0.6082191780821918,0.26046511627906976,0.0,0.1794871794871795,0.3888888888888889,0.1391304347826087
google/flan-t5-base,3-shot,3,500,500,0.694,0.6286637931034482,0.5341777320868886,0.6827547757840476,0.5913434379752572,0.5883511445452492,0.7465753424657534,0.7675675675675676,0.34615384615384615,0.6052631578947368,0.5894736842105263,0.6842105263157895
google/flan-t5-base,5-shot,5,500,500,0.702,0.6448552509459556,0.5442867993905597,0.6911571552958584,0.6035444225723062,0.5997335138562049,0.7491166077738516,0.7807486631016043,0.35294117647058826,0.5987261146496815,0.6105263157894737,0.717948717948718
