model,shot_config,k_shot,tweet_length_threshold,num_test_samples,accuracy,balanced_accuracy,f1_macro,f1_weighted,mcc,cohen_kappa,f1_sadness,f1_joy,f1_love,f1_anger,f1_fear,f1_surprise
mistral:7b,zero-shot,0,100,500,0.496,0.4335698222317413,0.04694992283551507,0.5455733516769457,0.3822090451186847,0.37692855447424634,0.6115107913669064,0.5936395759717314,0.2571428571428571,0.5070422535211268,0.5309734513274337,0.36363636363636365
mistral:7b,zero-shot,0,200,500,0.496,0.4335698222317413,0.04694992283551507,0.5455733516769457,0.3822090451186847,0.37692855447424634,0.6115107913669064,0.5936395759717314,0.2571428571428571,0.5070422535211268,0.5309734513274337,0.36363636363636365
mistral:7b,zero-shot,0,500,500,0.496,0.4335698222317413,0.04694992283551507,0.5455733516769457,0.3822090451186847,0.37692855447424634,0.6115107913669064,0.5936395759717314,0.2571428571428571,0.5070422535211268,0.5309734513274337,0.36363636363636365
qwen2.5:7b,zero-shot,0,100,500,0.548,0.41645085195497483,0.10119998646686577,0.5457225019681075,0.39864042402787575,0.3915670110864029,0.623229461756374,0.6686217008797654,0.19672131147540983,0.4074074074074074,0.41975308641975306,0.4166666666666667
qwen2.5:7b,zero-shot,0,200,500,0.548,0.41645085195497483,0.10119998646686577,0.5457225019681075,0.39864042402787575,0.3915670110864029,0.623229461756374,0.6686217008797654,0.19672131147540983,0.4074074074074074,0.41975308641975306,0.4166666666666667
qwen2.5:7b,zero-shot,0,500,500,0.548,0.41645085195497483,0.10119998646686577,0.5457225019681075,0.39864042402787575,0.3915670110864029,0.623229461756374,0.6686217008797654,0.19672131147540983,0.4074074074074074,0.41975308641975306,0.4166666666666667
mistral:7b,3-shot,3,100,500,0.53,0.4476888044073202,0.045307424773758605,0.5591983819297384,0.4004754802507154,0.39684821107746004,0.59375,0.6814404432132964,0.35294117647058826,0.3404255319148936,0.5607476635514018,0.37037037037037035
mistral:7b,5-shot,5,100,500,0.53,0.4403719271316722,0.04593700233734023,0.566645142061882,0.4023947033084826,0.3983861388166383,0.6007905138339921,0.6629213483146067,0.35514018691588783,0.5132743362831859,0.47619047619047616,0.2857142857142857
qwen2.5:7b,3-shot,3,100,500,0.588,0.47197383451131575,0.170190935149959,0.5796255162793863,0.45069009618423844,0.44649843084992047,0.6584615384615384,0.711484593837535,0.3142857142857143,0.3368421052631579,0.5192307692307693,0.35294117647058826
qwen2.5:7b,5-shot,5,100,500,0.598,0.5000251362414031,0.14755943091533133,0.60402208331699,0.46834492041460557,0.4664330652225851,0.6709677419354839,0.7102272727272727,0.3561643835616438,0.4778761061946903,0.4946236559139785,0.3888888888888889
mistral:7b,3-shot,3,200,500,0.486,0.43419867447228766,0.037488602505706035,0.5427117677605723,0.3739168604576918,0.36846347408980096,0.6227106227106227,0.5704225352112676,0.3333333333333333,0.5271317829457365,0.46938775510204084,0.36363636363636365
mistral:7b,5-shot,5,200,500,0.514,0.43555186692368103,0.04060534840236863,0.5544868945738799,0.3904996789164921,0.38742172610944725,0.6062992125984252,0.6303030303030303,0.37254901960784315,0.4915254237288136,0.49056603773584906,0.21052631578947367
qwen2.5:7b,3-shot,3,200,500,0.578,0.49934125199305107,0.16006278558287157,0.5852539013671715,0.4475841909197301,0.44547523560732283,0.658307210031348,0.6748466257668712,0.35,0.4745762711864407,0.4716981132075472,0.4117647058823529
qwen2.5:7b,5-shot,5,200,500,0.58,0.4829411187263511,0.12475154778876008,0.5913957539246075,0.45101603483048885,0.44935364606550066,0.6688102893890675,0.6867469879518072,0.3614457831325301,0.47368421052631576,0.4807692307692308,0.3225806451612903
mistral:7b,3-shot,3,500,500,0.466,0.4167805977963399,0.03352437214454688,0.5246910968342132,0.3525718516090136,0.3474052637753705,0.5714285714285714,0.5616438356164384,0.29411764705882354,0.5205479452054794,0.5046728971962616,0.36363636363636365
mistral:7b,5-shot,5,500,500,0.48,0.4136579031912615,0.03282477474987035,0.5288902905592845,0.355446571863552,0.3515983101654422,0.532258064516129,0.6586826347305389,0.3,0.35051546391752575,0.5454545454545454,0.37037037037037035
qwen2.5:7b,3-shot,3,500,500,0.566,0.46288120820542106,0.18077217491627934,0.5704963473033661,0.4260449660896686,0.42472972901323913,0.620253164556962,0.6902654867256637,0.3380281690140845,0.448,0.45098039215686275,0.3448275862068966
qwen2.5:7b,5-shot,5,500,500,0.582,0.4755364877085267,0.13907119322899558,0.5859172872362187,0.44966002270322447,0.44683238756669763,0.6625,0.7,0.379746835443038,0.4117647058823529,0.4807692307692308,0.2857142857142857
